# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
PADL1,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,5.82,71.88,160.00,-160.00
PADL2,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,18.26,79.38,0.00,0.00
PADL3,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,18.26,33.66,0.00,0.00
PADL4,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,5.82,26.16,160.00,-160.00
PADL5,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,42.14,79.38,0.00,0.00
PADL6,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,29.69,71.88,160.00,-160.00
PADL7,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,42.14,33.66,0.00,0.00
PADL8,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,29.69,26.16,160.00,-160.00
PADL9,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,66.01,79.38,0.00,0.00
PADL10,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,53.57,71.88,160.00,-160.00
PADL11,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,66.01,33.66,0.00,0.00
PADL12,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,53.57,26.16,160.00,-160.00
PADL13,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,89.89,79.38,0.00,0.00
PADL14,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,77.44,71.88,160.00,-160.00
PADL15,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,89.89,33.66,0.00,0.00
PADL16,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,77.44,26.16,160.00,-160.00
PADNA,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,200.00,20.00
PADNA1,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,0.00,0.00
PADNA2,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,0.00,0.00
PADNA3,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,200.00,20.00
PADNA4,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,0.00,0.00
PADNA5,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,200.00,20.00
PADNA6,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,0.00,0.00
PADNA7,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,200.00,20.00
PADNA8,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,0.00,0.00
PADNA9,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,200.00,20.00
PADNA10,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,0.00,0.00
PADNA11,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,200.00,20.00
PADNA12,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,0.00,0.00
PADNA13,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,200.00,20.00
PADNA14,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,0.00,0.00
PADNA15,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,200.00,20.00
PADNF,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,14.86,65.68,90.00,-90.00
PADNF1,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,14.86,19.96,90.00,-90.00
PADNF2,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,270.00,90.00
PADNF3,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,270.00,90.00
PADNF4,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,38.73,65.68,90.00,-90.00
PADNF5,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,270.00,90.00
PADNF6,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,38.73,19.96,90.00,-90.00
PADNF7,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,270.00,90.00
PADNF8,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,62.61,65.68,90.00,-90.00
PADNF9,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,270.00,90.00
PADNF10,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,62.61,19.96,90.00,-90.00
PADNF11,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,270.00,90.00
PADNF12,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,86.49,65.68,90.00,-90.00
PADNF13,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,270.00,90.00
PADNF14,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,86.49,19.96,90.00,-90.00
PADNF15,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,270.00,90.00
PADSF,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,8.71,65.71,90.00,-90.00
PADSF1,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,8.71,19.99,90.00,-90.00
PADSF2,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,270.00,90.00
PADSF3,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,270.00,90.00
PADSF4,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,32.59,65.71,90.00,-90.00
PADSF5,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,270.00,90.00
PADSF6,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,32.59,19.99,90.00,-90.00
PADSF7,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,270.00,90.00
PADSF8,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,56.46,65.71,90.00,-90.00
PADSF9,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,270.00,90.00
PADSF10,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,56.46,19.99,90.00,-90.00
PADSF11,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,270.00,90.00
PADSF12,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,80.34,65.71,90.00,-90.00
PADSF13,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,270.00,90.00
PADSF14,SMD,pad,SMD1.27-2.54,pad-smd1.27-2.54,80.34,19.99,90.00,-90.00
PADSF15,PTH,pad,SMD1.27-2.54,pad-smd1.27-2.54,0.00,0.00,270.00,90.00
R1,PTH,1k0,0204/5,1k0-0204/5,0.00,0.00,0.00,0.00
R2,PTH,1k0,0204/5,1k0-0204/5,0.00,0.00,0.00,0.00
R3,PTH,1k0,0204/5,1k0-0204/5,0.00,0.00,0.00,0.00
R4,PTH,1k0,0204/5,1k0-0204/5,0.00,0.00,0.00,0.00
R5,PTH,1k0,0204/5,1k0-0204/5,0.00,0.00,0.00,0.00
R6,PTH,1k0,0204/5,1k0-0204/5,0.00,0.00,0.00,0.00
R7,PTH,1k0,0204/5,1k0-0204/5,0.00,0.00,0.00,0.00
R8,PTH,1k0,0204/5,1k0-0204/5,0.00,0.00,0.00,0.00
